,company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
248,Tata Consultancy Services,"Big data- Pyspark, Hive",3.8,Chennai,432461.0,10000+ Employees,1968,Public,Software Development,Information Technology,3.7,3.1,3.9,3.3,3.8
249,NovoTree Minds Consulting,Data Analyst,5.0,Bengaluru,612372.0,1 to 50 Employees,2010,Private,HR Consulting,Human Resources & Staffing,5.0,4.9,4.9,4.9,5.0
250,"Medpace, Inc.",Data Coordinator - Core Laboratory,3.4,Thāne,589237.0,5001 to 10000 Employees,1992,Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,3.3,3.0,3.2,3.0,3.2
251,Tokopedia,Data Scientist - TopAds,4.3,Noida,270000.0,5001 to 10000 Employees,2009,Public,Internet & Web Services,Information Technology,3.9,3.9,4.4,3.8,4.0
252,AXA,Assistant Scientist- Data Engineering,4.0,Bengaluru,798123.0,10000+ Employees,1985,Private,Insurance Carriers,Insurance,3.6,3.6,3.9,3.5,3.9
253,Tata Elxsi,Data Science Engineers,4.1,Bengaluru,718666.0,10000+ Employees,1989,Public,Information Technology Support Services,Information Technology,4.1,3.4,4.2,3.7,4.0
254,Dyuti Technologies,Data Entry Operator,3.3,Bengaluru,158291.0,Unknown,--,Public,--,--,2.0,2.0,2.0,1.5,2.0
255,Zycus,Data Analyst,3.4,Mumbai,469042.0,1001 to 5000 Employees,1998,Private,Enterprise Software & Network Solutions,Information Technology,3.4,2.9,3.1,2.9,3.0
256,Petpooja,Data Scientist,4.5,Ahmedabad,269039.0,501 to 1000 Employees,2011,Private,Enterprise Software & Network Solutions,Information Technology,4.3,4.0,4.4,4.2,4.2
257,DAZN,Data Service Analyst,2.8,Hyderābād,227684.0,1001 to 5000 Employees,2015,Private,Internet & Web Services,Information Technology,2.7,2.9,2.6,2.3,3.1
258,RARR Technologies Pvt Ltd,Data Governance Admin,4.7,Remote,2600000.0,1 to 50 Employees,2018,Private,Software Development,Information Technology,4.7,4.5,4.9,4.9,4.8
259,PayU,Data Scientist,3.7,Bengaluru,606842.0,1001 to 5000 Employees,2002,Private,Internet & Web Services,Information Technology,3.6,3.6,3.6,3.4,3.6
260,Algoscale,Data Scientist,4.0,Noida,692820.0,51 to 200 Employees,2014,Private,Information Technology Support Services,Information Technology,3.9,3.5,3.9,3.9,4.0
261,Xitadel,Data Science,3.9,Bengaluru,483915.0,1 to 50 Employees,--,Private,--,--,3.8,3.1,3.6,3.5,3.7
262,Retransform,Web Research/ Data Entry Operator,4.1,Mumbai,226941.0,201 to 500 Employees,1998,Private,Business Consulting,Management & Consulting,4.0,3.4,4.0,4.1,4.0
263,Uplers,Business Data Analyst | QA - WFH,4.2,Remote,159500.0,501 to 1000 Employees,2012,Private,Information Technology Support Services,Information Technology,4.0,3.9,4.3,3.9,4.2
264,Zehntech,Data Engineer,3.1,Indore,384758.0,201 to 500 Employees,2013,Private,Software Development,Information Technology,3.1,3.2,3.4,2.9,2.8
265,Transaction Network Services,Data Scientist,3.4,Noida,474342.0,501 to 1000 Employees,--,Private,Information Technology Support Services,Information Technology,3.2,3.3,3.3,2.9,3.4
266,Wesco,India-Bangalore: Analyst - Data Governance,3.7,Bengaluru,836660.0,10000+ Employees,1922,Public,Wholesale,Retail & Wholesale,3.5,3.4,3.6,3.3,3.8
267,Energy Exemplar,Data Engineer,4.4,Pune,797931.0,201 to 500 Employees,1999,Private,Energy & Utilities,"Energy, Mining, Utilities",4.3,4.1,4.5,4.3,4.5
268,Acies Global,Data Engineer - SSIS,4.6,Chennai,950000.0,51 to 200 Employees,2019,Private,Information Technology Support Services,Information Technology,4.5,4.3,4.6,4.7,4.3
269,Recruise,1700_ Data and Market Research Analyst,4.6,Bengaluru,313623.0,51 to 200 Employees,2006,Private,HR Consulting,Human Resources & Staffing,4.6,4.1,4.7,4.6,4.5
270,Mazenet Solution,Talend Data Integration/ETL Specialist,4.2,India,650000.0,51 to 200 Employees,2001,Private,Information Technology Support Services,Information Technology,3.9,3.7,3.8,3.8,3.8
271,JP infotech,Big Data Engineer,3.9,Remote,1700000.0,1 to 50 Employees,--,Private,Information Technology Support Services,Information Technology,5.0,4.2,4.7,4.2,4.2
272,RD Digital Solutions,Senior Data Engineer,4.3,Remote,3500000.0,1 to 50 Employees,--,Public,--,--,4.1,3.5,4.1,3.5,4.4
273,Shreejan Associates,Data Creation Specialist,4.0,Bengaluru,480000.0,Unknown,--,Public,--,--,4.0,4.0,4.0,4.0,4.0
274,Xplor,Power Bi - Data-warehouse Administrator,3.4,Pune,611726.0,1001 to 5000 Employees,1994,Private,Software Development,Information Technology,3.2,3.4,3.2,2.8,3.6
275,Future Link Consultants,Data Modeler/Data Analyst,4.5,Gurgaon,1750000.0,1 to 50 Employees,--,Private,--,--,4.1,3.6,3.8,3.9,3.7
276,Forbes Advisor,Data Research Analyst,3.6,Mumbai,417490.0,201 to 500 Employees,1917,Private,Publishing,Media & Communication,3.2,3.2,3.4,3.4,3.7
277,Razor Group GmbH,Data Engineer,3.1,Gurgaon,587678.0,501 to 1000 Employees,2020,Private,Other Retail Shops,Retail & Wholesale,3.3,3.2,2.8,2.8,2.9
278,CapB InfoteK,Remote nCode GlyphWorks enginnering Test Data Analyst,1.0,Bengaluru,619793.0,Unknown,--,Private,Business Consulting,Management & Consulting,1.0,1.0,1.0,1.0,1.0
279,Idexcel,Data Engineer,4.3,Pune,816866.0,501 to 1000 Employees,1998,Private,Information Technology Support Services,Information Technology,4.2,3.6,3.9,4.1,4.1
280,Excelr Solutions,Data Analyst Trainer,3.8,Hyderābād,750000.0,1 to 50 Employees,--,Public,--,--,4.0,4.1,3.8,3.9,3.8
281,Exusia,IBM Infosphere Data Quality Lead / Senior Developers,4.0,Remote,2180762.0,201 to 500 Employees,2012,Private,Information Technology Support Services,Information Technology,4.1,4.1,4.1,4.1,4.1
282,CGI,Big Data Engineer,3.8,Bengaluru,642067.0,10000+ Employees,1976,Public,Business Consulting,Management & Consulting,3.7,3.3,3.9,3.6,3.9
283,expert global solutions Pvt. Ltd,Data Annotator,3.2,Coimbatore,246274.0,10000+ Employees,1999,Private,HR Consulting,Human Resources & Staffing,3.2,2.9,3.1,2.9,3.0
